,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
72,0.05,588.0,Sobol1,RBF,1.0,-,-,-,11.98728951216729,0.0128470014594655,0.989072478242839,24.70730013888367,0.020066892518682,0.9290406714328018
73,0.05,588.0,Sobol1,Matern,1.0,1.5,-,-,7.80069791406823,0.008520820861053,0.9953724980433956,20.20441318125505,0.0158299929807884,0.9525483412992176
74,0.05,588.0,Sobol1,RQ,1.0,-,1.0,-,14.876333700627326,0.0153800681663231,0.983170488327305,20.92844668610215,0.0174058992042719,0.9490865053361788
75,0.05,588.0,Sobol1,ESS,1.0,-,-,1.0,668.1728259467735,0.974776112025358,-32.95137047682972,680.4091505259438,0.9930263738058492,-52.81448726293964
76,0.05,588.0,Sobol2,RBF,1.0,-,-,-,15.71284673694066,0.0178920435732312,0.980419889592376,28.4574726340104,0.0223610279891712,0.9033178242205168
77,0.05,588.0,Sobol2,Matern,1.0,1.5,-,-,9.896952472432906,0.0103394256749337,0.9922320153826208,20.321109063325643,0.0161614987888331,0.9506998120401584
78,0.05,588.0,Sobol2,RQ,1.0,-,1.0,-,12.41244771258662,0.0148053518382393,0.9877814336471228,19.96974096724158,0.016620411834795,0.9523899514050186
79,0.05,588.0,Sobol2,ESS,1.0,-,-,1.0,660.7635328288051,0.990027650792072,-33.62561696930168,680.9573457418704,0.9933252405626684,-54.35968112731938
80,0.05,951.0,Grid1296,RBF,1.0,-,-,-,35.72993887634959,0.0279546381953156,0.8429065403406311,439.4354188226391,0.5744840445681656,-17.54312057457366
81,0.05,951.0,Grid1296,Matern,1.0,1.5,-,-,9.281938735763418,0.0087010956779871,0.9893984112603844,67.27953129269626,0.0610664686628536,0.5653310481655414
82,0.05,951.0,Grid1296,RQ,1.0,-,1.0,-,23.29949226075172,0.0176716288010436,0.9331984604159108,49.81792403377136,0.0585115746412481,0.7616780973157866
83,0.05,951.0,Grid1296,ESS,1.0,-,-,1.0,680.2602213998174,1.0,-55.943441341429846,679.3285485309442,0.9999999578452334,-43.31517181380384
84,0.05,951.0,Grid2401,RBF,1.0,-,-,-,97.58720143515175,0.05945348810098,-0.8181773609244445,505.85093693693216,0.69556228619523,-22.144139201728677
85,0.05,951.0,Grid2401,Matern,1.0,1.5,-,-,25.74642153922886,0.0134875970967031,0.8734435542028196,38.57419566463916,0.0466602060040031,0.8654171647180026
86,0.05,951.0,Grid2401,RQ,1.0,-,1.0,-,12.047791570653736,0.0104083147230002,0.9722881570189,88.00371989949592,0.0934535776454079,0.2995163942494148
87,0.05,951.0,Grid2401,ESS,1.0,-,-,1.0,709.7133810509372,1.0,-95.16488257559556,671.2444274174221,0.9999969707121972,-39.75278579920644
88,0.05,951.0,Sobol1,RBF,1.0,-,-,-,16.87482983525489,0.0183663768792696,0.9858902902980416,23.58698768431631,0.0194430933688635,0.9365031570128952
89,0.05,951.0,Sobol1,Matern,1.0,1.5,-,-,14.432724482823318,0.015490053803364,0.9896786639940652,20.13085862985637,0.0158335605812792,0.9537478665028388
90,0.05,951.0,Sobol1,RQ,1.0,-,1.0,-,21.759830015285857,0.0237476537075531,0.976538797337247,20.96905633508846,0.01745580514237,0.9498160380302152
91,0.05,951.0,Sobol1,ESS,1.0,-,-,1.0,672.6389799524742,1.0,-21.41833409649637,683.4291342863086,0.9999967398828332,-52.30821612211563
92,0.05,951.0,Sobol2,RBF,1.0,-,-,-,20.644495626867737,0.0256377861618515,0.9666012266098252,28.482282327227804,0.0227394776478329,0.9034915769160928
93,0.05,951.0,Sobol2,Matern,1.0,1.5,-,-,20.69697564810258,0.0229248798453851,0.966431205873088,20.43538735009336,0.0163283243189035,0.9503200221359162
94,0.05,951.0,Sobol2,RQ,1.0,-,1.0,-,25.835136331229453,0.0267121685165522,0.9476949672276356,20.0401336751116,0.0166696859465209,0.952223220299512
95,0.05,951.0,Sobol2,ESS,1.0,-,-,1.0,638.8170964639007,0.9889415495583944,-30.97974704888589,680.3919230259406,0.9928241024325196,-54.0723925532949
96,0.05,490.0,Grid1296,RBF,1.0,-,-,-,12.969341592371071,0.0147583651952793,0.9557760830885608,424.3708550972712,0.5525906199826003,-16.365465617327363
97,0.05,490.0,Grid1296,Matern,1.0,1.5,-,-,4.795657114056086,0.0059751915367247,0.9939533115173542,67.49905689188071,0.0611103102411204,0.5606701192795627
98,0.05,490.0,Grid1296,RQ,1.0,-,1.0,-,11.960046348906504,0.0104426377619227,0.9623914081586268,49.42150946871369,0.0581051974612475,0.7644802430563361
99,0.05,490.0,Grid1296,ESS,1.0,-,-,1.0,665.7397915622032,1.0,-115.52802310081594,679.1827288586181,1.0,-43.48039138603234
100,0.05,490.0,Grid2401,RBF,1.0,-,-,-,95.98902345911372,0.0705843429967518,-0.9566913711254256,505.2252523370179,0.695085742802591,-22.12732987350029
101,0.05,490.0,Grid2401,Matern,1.0,1.5,-,-,40.70706451568832,0.0209068901329552,0.6481004155834384,37.15519004220515,0.0447927081406161,0.874918128692294
102,0.05,490.0,Grid2401,RQ,1.0,-,1.0,-,34.21760588606117,0.0191783778172251,0.7513557487282619,88.44847874629053,0.0938172996040118,0.2911797251591836
103,0.05,490.0,Grid2401,ESS,1.0,-,-,1.0,702.6177274089558,1.0,-103.83767696364076,671.1118392919736,1.0,-39.807989313650175
104,0.05,490.0,Sobol1,RBF,1.0,-,-,-,7.912649858440173,0.0097107889275496,0.9948536833142524,24.30313147416601,0.0198792060033739,0.9311958048164894
105,0.05,490.0,Sobol1,Matern,1.0,1.5,-,-,8.708573276625335,0.0085201951986973,0.9937662894605124,20.164773248632805,0.0157925227487673,0.95263286338311
106,0.05,490.0,Sobol1,RQ,1.0,-,1.0,-,15.81508892005779,0.0155048103488884,0.9794412887308396,20.87100674617393,0.0173081074269003,0.9492568710463024
107,0.05,490.0,Sobol1,ESS,1.0,-,-,1.0,672.7562050587637,1.0,-36.20214964053654,683.434441111672,1.0,-53.410681857373945
108,0.05,490.0,Sobol2,RBF,1.0,-,-,-,32.953811870353974,0.0292348919750022,0.9206328794178772,29.469585408301533,0.0224620286756774,0.8964694400470217
109,0.05,490.0,Sobol2,Matern,1.0,1.5,-,-,20.718321501932927,0.0190895041188703,0.9686282717372956,20.56051133128485,0.0162178637114897,0.9496048974592136
