,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
125,0.05,721.0,Grid2401,Matern,0.017554324989016518,0.7762727527231346,0.045201798300795945,0.8748561535579946
126,0.05,721.0,Sobol1,Matern,0.011095613781753926,0.9923073889182538,0.01594668845121129,0.9514228152008306
127,0.05,721.0,Sobol2,Matern,0.010542547299438114,0.9820975128485548,0.016199248022113113,0.9500883774780146
128,0.05,721.0,Grid1296,RQ,0.024718039487167727,0.882547914976296,0.05922905165638989,0.7582444018950203
129,0.05,721.0,Grid2401,RQ,0.012229379972917778,0.9415501038125332,0.09508936671743605,0.28989502880575924
130,0.05,721.0,Sobol1,RQ,0.01935381459499108,0.976824226347133,0.01730948210535253,0.9485574446687962
131,0.05,721.0,Sobol2,RQ,0.011604858427558807,0.9745375837907272,0.016498449508950033,0.9520322252015541
132,0.05,711.0,Grid1296,RBF,1.0,-107.76374329274736,1.0,-43.214781562204614
133,0.05,711.0,Grid2401,RBF,1.0,-104.13666530050325,1.0,-39.39928014384073
134,0.05,711.0,Sobol1,RBF,0.013667605369043864,0.981845021324004,0.02033794443121665,0.9258127314345642
135,0.05,711.0,Sobol2,RBF,0.0191296222498251,0.9733765716410191,0.022168284984495336,0.9057610687975579
136,0.05,711.0,Grid1296,Matern,0.006595865854748603,0.9928563872367571,0.06199421563272234,0.5543848946164658
137,0.05,711.0,Grid2401,Matern,0.019819218228896162,0.7172110754286518,0.04380490126551915,0.8831293149679963
138,0.05,711.0,Sobol1,Matern,0.00901717976566931,0.9924369333220037,0.016170230447126753,0.9498227700726226
139,0.05,711.0,Sobol2,Matern,0.015474866831254284,0.980797893034716,0.01622929844894215,0.9497826199863779
140,0.05,711.0,Grid1296,RQ,0.010513516602674603,0.9625027191199668,0.05881474202257348,0.761984980614253
141,0.05,711.0,Grid2401,RQ,0.017827603745923962,0.7661415971353043,0.09465268829776345,0.2948598685849475
142,0.05,711.0,Sobol1,RQ,0.015784032323625973,0.9812665457260868,0.01766072817317479,0.9467459203353622
143,0.05,711.0,Sobol2,RQ,0.019972174924282167,0.970099943977544,0.016594024018998205,0.9514169180987169
144,0.05,985.0,Grid1296,RBF,0.018814074883428292,0.9202458094560663,0.5777462189157642,-17.573610128673177
145,0.05,985.0,Grid2401,RBF,0.06817774670097317,-1.2763733631651655,0.7102606042953188,-22.568039517511355
146,0.05,985.0,Sobol1,RBF,0.009147159624030171,0.9910336006015386,0.02016632919190113,0.9294191684166011
147,0.05,985.0,Sobol2,RBF,0.022901967188319362,0.9595603375363251,0.022133452666087218,0.9043863719218785
148,0.05,985.0,Grid1296,Matern,0.0074774716882108115,0.9879410600141403,0.06191988824969317,0.5572896743436135
149,0.05,985.0,Grid2401,Matern,0.01808069685013487,0.6016805850892909,0.04588337315500927,0.8701756726759058
150,0.05,985.0,Sobol1,Matern,0.005648197469364899,0.9959680839907756,0.015991179135063073,0.9513751529586368
151,0.05,985.0,Sobol2,Matern,0.012598415179264003,0.989910037561231,0.016073888628060785,0.9504173304578959
152,0.05,985.0,Grid1296,RQ,0.01005713049910301,0.964173419829709,0.05859049091606754,0.7635210764512093
153,0.05,985.0,Grid2401,RQ,0.011291694286354887,0.9551741128935124,0.09475989641154405,0.29496044578813596
154,0.05,985.0,Sobol1,RQ,0.01014847467103469,0.9830868761579977,0.01743169525601058,0.9482533212632585
155,0.05,985.0,Sobol2,RQ,0.018745302554687326,0.9818355609156177,0.01656265261051952,0.9518265171503162
156,0.05,171.0,Grid1296,RBF,1.0,-76.5110399947201,1.0,-43.214781562204614
157,0.05,171.0,Grid2401,RBF,1.0,-82.82710140124836,1.0,-39.39928014384073
158,0.05,171.0,Sobol1,RBF,1.0,-27.419635344409553,1.0,-53.9800661222328
159,0.05,171.0,Sobol2,RBF,1.0,-29.76349218102061,0.9999587351094734,-55.45189350969736
160,0.05,171.0,Grid1296,Matern,0.009273747836189927,0.9812193340188435,0.06193306567156474,0.5586755772542336
161,0.05,171.0,Grid2401,Matern,0.020560458103111433,0.7458713948665879,0.043511517893611615,0.8837542026512644
162,0.05,171.0,Sobol1,Matern,0.012715716303278784,0.9914569306223545,0.01616388422652256,0.9503336151980433
163,0.05,171.0,Sobol2,Matern,0.014096881119818069,0.9742560758254782,0.01601859437006412,0.951951017352544
164,0.05,171.0,Grid1296,RQ,0.0183874507921141,0.9018826759421417,0.058859412658667565,0.7602094482696773
165,0.05,171.0,Grid2401,RQ,0.018315487002778342,0.8456874497103859,0.09504198119657549,0.2902572447249143
166,0.05,171.0,Sobol1,RQ,0.01861404116108095,0.9803186937240066,0.017494164866082334,0.9477941068270948
167,0.05,171.0,Sobol2,RQ,0.01610216067895941,0.9757932611900118,0.016531757044857206,0.9526184918173234
168,0.05,75.0,Grid1296,RBF,1.0,-74.39968892170991,1.0,-43.214781562204614
169,0.05,75.0,Grid2401,RBF,1.0,-100.77181140872672,1.0,-39.39928014384073
170,0.05,75.0,Sobol1,RBF,0.013225555703560607,0.9845454473344467,0.019879471336402176,0.9309894557709997
171,0.05,75.0,Sobol2,RBF,0.02855757978745091,0.9186944863255303,0.022616516843832486,0.8966563137141393
172,0.05,75.0,Grid1296,Matern,0.008299772216940242,0.9847185960801292,0.06179216008727837,0.5596558177213395
173,0.05,75.0,Grid2401,Matern,0.020769773921358717,0.6627335596265742,0.04310594841680743,0.8859238469990656
174,0.05,75.0,Sobol1,Matern,0.00882197554460783,0.9942559695425165,0.015998045979299734,0.9512284925038939
175,0.05,75.0,Sobol2,Matern,0.02017255616958305,0.9688542973277146,0.016241954055790698,0.9497055370396315
176,0.05,75.0,Grid1296,RQ,0.01715532993345275,0.9236513699576645,0.058941804880353,0.760247964274235
177,0.05,75.0,Grid2401,RQ,0.01962636713577451,0.6788096854280905,0.09426237744834545,0.2992072394949914
178,0.05,75.0,Sobol1,RQ,0.012189381051415761,0.9864528608864046,0.01732826104470093,0.9483358057107927
179,0.05,75.0,Sobol2,RQ,0.023422401305482884,0.9571810326648912,0.0166667009809044,0.951160797197856
180,0.05,16.0,Grid1296,RBF,0.01629089946101287,0.9198768567231232,0.570704256672492,-17.16758955918898
181,0.05,16.0,Grid2401,RBF,1.0,-97.21239166445206,1.0,-39.39928014384073
182,0.05,16.0,Sobol1,RBF,0.011236514508110237,0.9879371599468684,0.01999675483615767,0.9305374008990542
183,0.05,16.0,Sobol2,RBF,0.025369451507895956,0.9190256950257698,0.0219716238753239,0.9047950805346072
184,0.05,16.0,Grid1296,Matern,0.006014114175876483,0.9925136199216565,0.06166747778634445,0.5599613932284239
185,0.05,16.0,Grid2401,Matern,0.02185968435286229,0.6874954808779422,0.0453646297160834,0.8755607260115144
186,0.05,16.0,Sobol1,Matern,0.009420732810720527,0.9904370653089734,0.01606264987523675,0.9506671244425077
