,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
82,0.45,951.0,Grid1296,RQ,1.0,-,1.0,-,24.03000066491039,0.017306629678916836,0.9074008208535452,51.66977703033672,0.05856137598580263,0.7353018250209022
83,0.45,951.0,Grid1296,ESS,1.0,-,-,1.0,682.2887573049271,1.0,-73.65106387362248,679.5696746738663,0.9999999610010915,-44.7873757495957
84,0.45,951.0,Grid2401,RBF,1.0,-,-,-,86.38725329229365,0.06465569583888074,-0.518649529317043,383.8011105654323,0.49636578729554065,-13.109316746818603
85,0.45,951.0,Grid2401,Matern,1.0,1.5,-,-,34.437650727456656,0.017891048330510702,0.758662248304794,35.063316332573606,0.03874264275717398,0.8822395358521798
86,0.45,951.0,Grid2401,RQ,1.0,-,1.0,-,27.723338136708854,0.016907126604535905,0.8435954898240301,83.77093881825834,0.08484445949323541,0.3278281907377735
87,0.45,951.0,Grid2401,ESS,1.0,-,-,1.0,705.2405473649333,1.0,-100.21217928851509,675.5349088935163,0.9999999999999294,-42.710836943797126
88,0.45,951.0,Sobol1,RBF,1.0,-,-,-,18.354347358942963,0.017891764246541358,0.9749079371916012,26.973885768052096,0.02313893147222409,0.9222273570146792
89,0.45,951.0,Sobol1,Matern,1.0,1.5,-,-,14.367107768021398,0.013484574103162063,0.9846256355531566,20.47963289607817,0.017064404052361665,0.9551684075993714
90,0.45,951.0,Sobol1,RQ,1.0,-,1.0,-,22.51067539413961,0.022876090164512267,0.9622570776316055,23.033246750094808,0.02102387502927186,0.9432912400942024
91,0.45,951.0,Sobol1,ESS,1.0,-,-,1.0,667.2247096681554,0.9936413064514966,-32.1590985610643,678.9009133645555,0.9942434694070522,-48.26660276204708
92,0.45,951.0,Sobol2,RBF,1.0,-,-,-,23.561674649842836,0.021011443947909457,0.9548846769068998,25.01263420300656,0.021181988064792604,0.9296236153036159
93,0.45,951.0,Sobol2,Matern,1.0,1.5,-,-,19.677339507204984,0.01711967364160163,0.9685337839571114,20.706274469872803,0.017610176775687852,0.9517705818844286
94,0.45,951.0,Sobol2,RQ,1.0,-,1.0,-,23.096164892394437,0.02207857640901778,0.9566497600858215,21.4719636676655,0.019198699220099577,0.948137718686712
95,0.45,951.0,Sobol2,ESS,1.0,-,-,1.0,653.6225351170972,0.9726923038037255,-33.71888717441812,691.8723509971012,0.9827770415727397,-52.84681747481866
96,0.45,490.0,Grid1296,RBF,1.0,-,-,-,35.210685534723964,0.03232393775258841,0.8062879010192687,291.5425649855539,0.3589012974031157,-7.417729375568111
97,0.45,490.0,Grid1296,Matern,1.0,1.5,-,-,12.755336236562504,0.01151654473335881,0.9745790598429572,58.95940028105872,0.05532110334061611,0.6557316220734752
98,0.45,490.0,Grid1296,RQ,1.0,-,1.0,-,27.11930896461286,0.02163694030807882,0.8850880952224256,53.97791502858721,0.06162933987717528,0.7114485711151506
99,0.45,490.0,Grid1296,ESS,1.0,-,-,1.0,678.4671017306113,1.0,-70.92259914442738,679.2473018435064,1.0,-44.692704320505314
100,0.45,490.0,Grid2401,RBF,1.0,-,-,-,78.41875044873572,0.0590806398963637,-0.3291868383712795,364.5551444380637,0.4713619108566824,-11.786858672032285
101,0.45,490.0,Grid2401,Matern,1.0,1.5,-,-,35.98203139921401,0.01967906776836393,0.720154999200862,33.545355165275716,0.036377116172067195,0.8917314821497345
102,0.45,490.0,Grid2401,RQ,1.0,-,1.0,-,24.608294767951346,0.01691975836754542,0.8691091653117944,84.66631964533164,0.08644560471199965,0.3103023178251466
103,0.45,490.0,Grid2401,ESS,1.0,-,-,1.0,704.4143478178976,1.0,-106.2513044850088,675.4130015426026,1.0,-42.89107679283377
104,0.45,490.0,Sobol1,RBF,1.0,-,-,-,16.69674331410437,0.015436585433545714,0.9766842135010245,26.547512063820232,0.02181667699785709,0.9226046573734619
105,0.45,490.0,Sobol1,Matern,1.0,1.5,-,-,13.178559895625492,0.012121124704789618,0.9854747893935031,21.09366066871592,0.017352263876215655,0.9511380174686536
106,0.45,490.0,Sobol1,RQ,1.0,-,1.0,-,20.09844713241813,0.01907165836928391,0.9662159636115968,24.007269746271188,0.021253079873318172,0.9367074318342247
107,0.45,490.0,Sobol1,ESS,1.0,-,-,1.0,16.69674245172233,0.015436584658573414,0.9766842159095319,26.547510892028978,0.02181667606023488,0.9226046642058296
108,0.45,490.0,Sobol2,RBF,1.0,-,-,-,27.593396123446457,0.028335813872784332,0.9437775135011345,35.14822550144669,0.029036031079695098,0.8636678104745804
109,0.45,490.0,Sobol2,Matern,1.0,1.5,-,-,18.743820354624052,0.018618652433788362,0.9740572527766507,21.65594224784583,0.01848577196403377,0.9482457796328029
110,0.45,490.0,Sobol2,RQ,1.0,-,1.0,-,26.738277420599392,0.027630033199245143,0.9472081857179881,23.64090252760515,0.021767674237917613,0.9383235020217089
111,0.45,490.0,Sobol2,ESS,1.0,-,-,1.0,27.59338730154917,0.028335805255500775,0.9437775494509625,35.14821565120771,0.02903602239451661,0.8636678868883646
112,0.45,395.0,Grid1296,RBF,1.0,-,-,-,24.25953748534588,0.02352088056945445,0.9024751052098451,246.1380585418321,0.29604878365425036,-5.017671874300462
113,0.45,395.0,Grid1296,Matern,1.0,1.5,-,-,9.344019210440043,0.009569833956217792,0.9855316867695999,59.17985648690027,0.05438717415022065,0.6521285582191603
114,0.45,395.0,Grid1296,RQ,1.0,-,1.0,-,22.393743331100232,0.018517188307432163,0.9168994593149855,53.47514111413095,0.06117457855026945,0.71596305004923
115,0.45,395.0,Grid1296,ESS,1.0,-,-,1.0,24.259534118055235,0.023520877713066067,0.9024751322832915,246.1380095870786,0.29604871563383667,-5.017669480573822
116,0.45,395.0,Grid2401,RBF,1.0,-,-,-,87.75008190451531,0.07563480909626275,-0.7856888824003083,391.21040805915015,0.5088430067174955,-13.84837880217873
117,0.45,395.0,Grid2401,Matern,1.0,1.5,-,-,30.947865868448158,0.01731339047455327,0.7778879371806828,35.31182570305584,0.03960114210762277,0.879024178014326
118,0.45,395.0,Grid2401,RQ,1.0,-,1.0,-,25.953381514332516,0.015386290007439053,0.8437936676280422,84.3778892709506,0.08535795774898122,0.30925849618467927
119,0.45,395.0,Grid2401,ESS,1.0,-,-,1.0,87.75007633279827,0.0756348028758437,-0.7856886556346427,391.2103869084419,0.5088429790963712,-13.84837719662983
120,0.45,395.0,Sobol1,RBF,1.0,-,-,-,16.44903851742271,0.016950971960901957,0.9792999110223444,23.91448911297299,0.021380507064798507,0.9384066614401383
121,0.45,395.0,Sobol1,Matern,1.0,1.5,-,-,13.254969724202653,0.01337319700089058,0.9865584714968703,20.15272420631376,0.01725067587407532,0.9562599723648051
122,0.45,395.0,Sobol1,RQ,1.0,-,1.0,-,21.13817100662719,0.02172769732391317,0.9658157551029738,22.72107433133926,0.020905297723786898,0.9444007088124472
123,0.45,395.0,Sobol1,ESS,1.0,-,-,1.0,16.449034885834763,0.0169509685311701,0.9792999201625971,23.914485377927317,0.021380503383825914,0.9384066806798481
124,0.45,395.0,Sobol2,RBF,1.0,-,-,-,22.58135581085598,0.02232036879705796,0.9624738074632307,25.6351562498462,0.02184740769651025,0.927675730868433
125,0.45,395.0,Sobol2,Matern,1.0,1.5,-,-,19.49785615894002,0.01765359956530721,0.9720225454454275,20.262770772613145,0.017080906650484062,0.9548133881429772
126,0.45,395.0,Sobol2,RQ,1.0,-,1.0,-,26.80450914646009,0.02711670704351894,0.9471250229337805,22.84864593637843,0.020888030096282855,0.9425443090682392
127,0.45,395.0,Sobol2,ESS,1.0,-,-,1.0,22.581353148093093,0.022320365874871736,0.9624738163133058,25.63515287293168,0.021847404924470563,0.9276757499229576
128,0.45,877.0,Grid1296,RBF,1.0,-,-,-,17.510028430962166,0.017328284386597764,0.9396014885444552,225.01981146885882,0.2665887181543687,-4.07031508070462
129,0.45,877.0,Grid1296,Matern,1.0,1.5,-,-,7.973102991303889,0.008177157970732972,0.9874770317059116,59.119874520870496,0.053487739392414774,0.6500061263310193
130,0.45,877.0,Grid1296,RQ,1.0,-,1.0,-,15.76898306686018,0.012898771568413224,0.9510153615926475,50.08667528699397,0.05743904688437791,0.7487894673861447
131,0.45,877.0,Grid1296,ESS,1.0,-,-,1.0,17.179265766069765,0.01715400075942816,0.941861780184791,219.52929713059717,0.25889081902139277,-3.8259010073171975
132,0.45,877.0,Grid2401,RBF,1.0,-,-,-,119.0573745841192,0.10496316286252298,-2.0211804767765873,434.07433104046254,0.5696177278090349,-17.11696492564614
133,0.45,877.0,Grid2401,Matern,1.0,1.5,-,-,33.98007027350301,0.02002669851916882,0.753899434207247,32.83448549749878,0.03566702837814367,0.8963384579039393
134,0.45,877.0,Grid2401,RQ,1.0,-,1.0,-,25.735907096029354,0.01854773384945595,0.8588298009536672,87.12141190205253,0.08904401392727264,0.2701946472253558
135,0.45,877.0,Grid2401,ESS,1.0,-,-,1.0,120.84188161579122,0.10791833921816917,-2.1124259298160566,437.33972649136246,0.5745388141970693,-17.390565861980757
136,0.45,877.0,Sobol1,RBF,1.0,-,-,-,17.345606112047403,0.017210729567122694,0.9756216028816753,26.585404579958926,0.022625700446127828,0.9230544032205157
137,0.45,877.0,Sobol1,Matern,1.0,1.5,-,-,11.979725197424179,0.012063217344273234,0.9883716017015769,20.622326764071037,0.01713495234254402,0.9537008995961392
138,0.45,877.0,Sobol1,RQ,1.0,-,1.0,-,19.440544716592992,0.01989337185249228,0.9693773305730715,22.85128876938209,0.02070290041978381,0.9431515508301965
139,0.45,877.0,Sobol1,ESS,1.0,-,-,1.0,16.489648412917546,0.016438999505406324,0.9779682508156003,25.645396883460133,0.021794327765987925,0.9283994969361374
140,0.45,877.0,Sobol2,RBF,1.0,-,-,-,27.596279557415535,0.02637022774035893,0.9366383795263651,31.48215732828927,0.025919430576429654,0.8880604261893356
141,0.45,877.0,Sobol2,Matern,1.0,1.5,-,-,19.202659523801515,0.017951847621534612,0.9693205218941561,21.746042821298634,0.01834441496944267,0.9465909126294033
142,0.45,877.0,Sobol2,RQ,1.0,-,1.0,-,26.18570726511854,0.027084700111106495,0.94295024007115,23.145518648289727,0.02160323793768179,0.9394953834173501
143,0.45,877.0,Sobol2,ESS,1.0,-,-,1.0,26.83323331572596,0.025600537136042024,0.9400938764394614,30.645937353826195,0.02520279686059401,0.8939280633647197
144,0.45,297.0,Grid1296,RBF,1.0,-,-,-,678.9537085241964,1.0,-81.78555967010651,679.2882602048757,1.0,-45.01546044295223
145,0.45,297.0,Grid1296,Matern,1.0,1.5,-,-,8.477395312684713,0.008726732666270026,0.987093778025531,59.95536899786869,0.05470197862909339,0.641530909028704
146,0.45,297.0,Grid1296,RQ,1.0,-,1.0,-,19.68056976221561,0.015900359390526277,0.9304415983257326,52.07053896172521,0.059627218753752355,0.7296168022996503
147,0.45,297.0,Grid1296,ESS,1.0,-,-,1.0,648.1554326205494,0.9445209649543546,-74.44536960846244,617.7293976774492,0.8674955475888536,-37.05327974897117
148,0.45,297.0,Grid2401,RBF,1.0,-,-,-,702.8425753232755,1.0,-99.76326534827182,675.1814173727338,1.0,-42.765820470974255
149,0.45,297.0,Grid2401,Matern,1.0,1.5,-,-,31.72948787291527,0.016731113512998184,0.7946417120610916,36.47904320626291,0.04086320580964306,0.8722440927608908
150,0.45,297.0,Grid2401,RQ,1.0,-,1.0,-,27.841057304891013,0.015636958241795323,0.841890648090232,83.33635584540107,0.08411794766302326,0.33324984730961427
151,0.45,297.0,Grid2401,ESS,1.0,-,-,1.0,623.5924424189433,0.873574993718368,-78.32092979941267,570.7568878051173,0.7879115202428711,-30.274936387499427
152,0.45,297.0,Sobol1,RBF,1.0,-,-,-,670.4324163744785,1.0,-37.18882518068062,681.5055845775909,1.0,-50.183723078576534
153,0.45,297.0,Sobol1,Matern,1.0,1.5,-,-,12.969298204969883,0.01185202460043122,0.9857091111731041,20.70794640169253,0.01719692249321457,0.9527428964617716
154,0.45,297.0,Sobol1,RQ,1.0,-,1.0,-,19.19037797147241,0.018341280783142514,0.9687108802310799,22.648390073187816,0.02035482226359786,0.9434714679629397
155,0.45,297.0,Sobol1,ESS,1.0,-,-,1.0,663.3531198519272,0.984614419599045,-36.386588721451936,672.4658587091059,0.9805155832442335,-48.83489126592496
156,0.45,297.0,Sobol2,RBF,1.0,-,-,-,670.5002019443044,1.0,-38.125504915008484,682.4690525429227,1.0,-52.1750829760946
157,0.45,297.0,Sobol2,Matern,1.0,1.5,-,-,19.228680965552428,0.015946227475513677,0.9678218466611713,21.06326202936893,0.01731030649189905,0.949348359923826
158,0.45,297.0,Sobol2,RQ,1.0,-,1.0,-,23.232548831470645,0.022488138610255518,0.9530261835466183,22.555838839241364,0.020212109889344926,0.9419155051051495
159,0.45,297.0,Sobol2,ESS,1.0,-,-,1.0,662.4281056881157,0.983736445201009,-37.18911818070774,674.396162170532,0.9825433983177925,-50.92451295064138
160,0.45,721.0,Grid1296,RBF,1.0,-,-,-,680.3481149303818,1.0,-81.9789593631851,679.4057782376524,1.0,-45.02367062363998
161,0.45,721.0,Grid1296,Matern,1.0,1.5,-,-,8.495702231869092,0.009015114278830533,0.9870608967908986,58.80137017709525,0.05416185724625405,0.6552552408683857
162,0.45,721.0,Grid1296,RQ,1.0,-,1.0,-,20.878790183141593,0.017403359405629572,0.9218522870918728,52.050716868173836,0.059778799699822964,0.7298678899025528
163,0.45,721.0,Grid1296,ESS,1.0,-,-,1.0,680.3481149303818,1.0,-81.9789593631851,668.739404681193,0.9814199098397662,-43.589911368677605
