,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
114,0.1,669.0,Sobol1,0.005056491222786,0.9982165576526189,0.0155327792413793,0.9481274742257184
115,0.15,877.0,Sobol1,0.0050597946005349,0.9982680318545744,0.0152006878777415,0.9528481166447142
116,0.15,928.0,Sobol1,0.0050616819069002,0.99785169383958,0.0158102115289364,0.9461064098297892
117,0.15,562.0,Sobol1,0.0050700764796479,0.998159967582712,0.0155385104840564,0.946400826123639
118,0.05,490.0,Sobol1,0.0050705604687523,0.9985097561638332,0.0157617177420438,0.9463012663480056
119,0.2,968.0,Sobol1,0.0050718798129319,0.9971486894552096,0.01535614916791,0.946887133580692
120,0.15,294.0,Sobol1,0.0050742196289085,0.9966256501995384,0.0181276106061159,0.92119741879021
121,0.25,928.0,Sobol1,0.0050807354978674,0.9967372230158889,0.0152970608726368,0.9476924973842852
122,0.1,16.0,Sobol1,0.0050947592475907,0.997301239980214,0.0154715186485711,0.9479790101272232
123,0.2,294.0,Sobol1,0.0050965118863866,0.997933665697828,0.0152693685641853,0.9499921478519304
124,0.3,928.0,Sobol1,0.0051010146021004,0.9972033005121136,0.0153278395711817,0.948148688843808
125,0.2,530.0,Sobol1,0.005116487608698,0.9971938956158862,0.015280215201569,0.9484374084253964
126,0.2,530.0,Sobol1,0.0051174725016434,0.9961660799472848,0.0160975018263914,0.9419596176388022
127,0.15,530.0,Sobol1,0.0051181768495627,0.9956212149895352,0.0160360919623102,0.9414885187602844
128,0.1,561.0,Sobol1,0.005120127525584,0.9987033705450902,0.0158894944957278,0.9443983166511956
129,0.1,816.0,Sobol1,0.0051241955524414,0.9983461394208382,0.0152650669919984,0.9510080752255796
130,0.1,633.0,Sobol1,0.0051264745973622,0.9980452914882456,0.015565467869971,0.9483092782833572
131,0.1,877.0,Sobol1,0.0051285869471959,0.9984148276319046,0.0152943949459982,0.9513007576719332
132,0.1,968.0,Sobol1,0.0051309517565597,0.997118130884166,0.0156646810465024,0.9455680072111748
133,0.05,490.0,Sobol1,0.0051355896811989,0.9980585519769144,0.0158203744702472,0.9432752813257436
134,0.1,180.0,Sobol1,0.0051405475159043,0.9974898206961016,0.0152170870994898,0.9516752074158612
135,0.05,633.0,Sobol1,0.0051571178992996,0.9973002725132882,0.0179836773365891,0.9232707694529876
136,0.1,936.0,Sobol1,0.0051612861754135,0.9984877058214364,0.0154818347851442,0.9483346352696762
137,0.05,16.0,Sobol1,0.0051671890690007,0.9970563729323332,0.0159353371509226,0.9414771549506116
138,0.15,222.0,Sobol1,0.0051689506376067,0.997558890015633,0.0153221803313468,0.9490713514753636
139,0.1,297.0,Sobol1,0.0051693687603159,0.997917338428873,0.0157560666683027,0.9457686722164284
140,0.05,985.0,Sobol1,0.0051719888633307,0.9955992520640916,0.0178158712999218,0.9252232513105388
141,0.15,669.0,Sobol1,0.0051787092096853,0.9982395363508936,0.0154623063901689,0.949413255916142
142,0.1,111.0,Sobol1,0.0051794161956071,0.998135758581126,0.0152588089036411,0.9511895724019902
143,0.1,222.0,Sobol1,0.0051810834383623,0.9975711503464216,0.0152865564549826,0.9507344861149796
144,0.2,395.0,Sobol1,0.005181244051165,0.9977780644614171,0.01570557053372,0.9469713842087678
145,0.2,725.0,Sobol1,0.0051812680749186,0.9961875696899593,0.0148384730998664,0.9510384380967586
146,0.05,877.0,Sobol2,0.0051830323918381,0.997570251886788,0.0137374516492193,0.9586171376978108
147,0.2,390.0,Sobol1,0.0051837509302847,0.998443463924853,0.0151904090593785,0.9532161539620704
148,0.2,78.0,Sobol1,0.005190581310036,0.9976113090444912,0.0152491207193703,0.9509421842252048
149,0.15,222.0,Sobol1,0.0051927580408179,0.9973618441836302,0.0149983780406703,0.9526600535562963
150,0.1,968.0,Sobol1,0.0051933764263361,0.9979925084811148,0.0153476062333909,0.951376893338728
151,0.15,390.0,Sobol1,0.005208369797119,0.9985156105404064,0.0152100459791709,0.952651563047048
152,0.05,928.0,Sobol1,0.0052161414047774,0.9975074180385122,0.0159562660968966,0.942443698640164
