,ratio,rndint,dataset,#trees,mape_ist,r2_ist,mape_ost,r2_ost
21749,0.95,490.0,Grid2401,100.0,0.024641785735472044,0.7649969122972329,0.10326490209723069,0.20381944099615312
21750,0.95,490.0,Sobol1,100.0,0.03356990062601215,0.9129999785174631,0.03255236242863817,0.8767288446550615
21751,0.95,490.0,Sobol2,100.0,0.040600561100451925,0.8988691719024244,0.032238649477976375,0.8819838820259456
21752,0.95,490.0,Grid1296,250.0,0.023228607391052702,0.9040180790526017,0.05257981105550637,0.7874275097319323
21753,0.95,490.0,Grid2401,250.0,0.023598223586045283,0.7833201957959001,0.10251925248746697,0.21415492743086606
21754,0.95,490.0,Sobol1,250.0,0.03265948582985666,0.9174002017622137,0.03184684651769831,0.8808241185802569
21755,0.95,490.0,Sobol2,250.0,0.04061020953512713,0.8993792818322313,0.03169908392878854,0.885980303049592
21756,0.95,490.0,Grid1296,500.0,0.023398483054164504,0.9033559079546778,0.052457524587791425,0.7886937898957057
21757,0.95,490.0,Grid2401,500.0,0.023743474784706176,0.7818955444721835,0.10264787581645864,0.21248818865299268
21758,0.95,490.0,Sobol1,500.0,0.03289372595597432,0.9163540840507578,0.032002874164058316,0.8803922067593648
21759,0.95,490.0,Sobol2,500.0,0.04054004583874299,0.8992003962151842,0.031579787754294215,0.8866102079363974
21760,0.95,490.0,Grid1296,750.0,0.023421572838808167,0.90371547689397,0.052186925802291645,0.7909807084612843
21761,0.95,490.0,Grid2401,750.0,0.02379831482216416,0.7788922386043327,0.10275872985482037,0.2100792586412995
21762,0.95,490.0,Sobol1,750.0,0.03269123490459214,0.9172793505383723,0.03191198058151241,0.881085490995298
21763,0.95,490.0,Sobol2,750.0,0.04069355045397075,0.8980099816538167,0.031659104743932236,0.8859346052733542
21764,0.95,490.0,Grid1296,1000.0,0.02348679437961257,0.9035167248436887,0.05227079970257878,0.7899866560932631
21765,0.95,490.0,Grid2401,1000.0,0.023977620028377594,0.775244095440861,0.10279436375022431,0.21005398360073302
21766,0.95,490.0,Sobol1,1000.0,0.03283575095684503,0.9169203659815919,0.031959372370906354,0.8810269671197142
21767,0.95,490.0,Sobol2,1000.0,0.04070745844162028,0.8981070002798811,0.031626930176897446,0.8861060786472585
21768,0.95,395.0,Grid1296,10.0,0.0379528613329596,0.6367469432624759,0.08653150976319028,0.37911277056475057
21769,0.95,395.0,Grid2401,10.0,0.019516086286991946,0.8199958458206108,0.10309082884906329,0.193095671323947
21770,0.95,395.0,Sobol1,10.0,0.03463296317416066,0.9209116098779823,0.0336854159241298,0.8756092045948058
21771,0.95,395.0,Sobol2,10.0,0.04254865384290537,0.8935260374384916,0.03522630761834447,0.8605605679754257
21772,0.95,395.0,Grid1296,100.0,0.03472502550492627,0.6720471235240871,0.08484664950402404,0.4021721399978436
21773,0.95,395.0,Grid2401,100.0,0.018821944315039137,0.8216321897672144,0.10392895608954165,0.17901058908020628
21774,0.95,395.0,Sobol1,100.0,0.03151318893665568,0.9364120448431373,0.031013246791591936,0.8962829167295282
21775,0.95,395.0,Sobol2,100.0,0.03811068657674732,0.9077266327119873,0.031920129173807814,0.8777279399712052
21776,0.95,395.0,Grid1296,250.0,0.03426858372579643,0.6771578197781281,0.08447926902456952,0.404987744846914
21777,0.95,395.0,Grid2401,250.0,0.01841161321980691,0.8240816672234215,0.10335787935668143,0.1853301412574363
21778,0.95,395.0,Sobol1,250.0,0.031434084518163596,0.9361611675338901,0.0307752887926129,0.8963104412615357
21779,0.95,395.0,Sobol2,250.0,0.038633150141359644,0.9042607802532485,0.032177190529545444,0.8725744282552339
21780,0.95,395.0,Grid1296,500.0,0.03422943679219787,0.6778383155098555,0.0844354266591992,0.4049000817617012
21781,0.95,395.0,Grid2401,500.0,0.018379425041520684,0.8242041686652025,0.1033704747394928,0.1850601613363183
21782,0.95,395.0,Sobol1,500.0,0.03151749201552417,0.9360428248064886,0.03081178558077293,0.8959078988388901
21783,0.95,395.0,Sobol2,500.0,0.03886882205670504,0.9030263496148951,0.032081059037585416,0.8722875406495074
21784,0.95,395.0,Grid1296,750.0,0.03430244810568483,0.6768336109248205,0.08458686963697258,0.40250079374557857
21785,0.95,395.0,Grid2401,750.0,0.018433632843009046,0.8240107944158674,0.10348961314666878,0.18366640491034247
21786,0.95,395.0,Sobol1,750.0,0.031642697295617264,0.9356226641592001,0.030733241777577074,0.8964403846037504
21787,0.95,395.0,Sobol2,750.0,0.03888124541312722,0.9023197712460352,0.032182926016183055,0.8710105698318191
21788,0.95,395.0,Grid1296,1000.0,0.03438811734456042,0.6762691393391829,0.08461148606192216,0.40210226134491944
21789,0.95,395.0,Grid2401,1000.0,0.01846703889452863,0.8239044343434817,0.10349768352103568,0.1839828892355886
21790,0.95,395.0,Sobol1,1000.0,0.03157937870890176,0.9359803841315624,0.03063440172204534,0.8970101468803685
21791,0.95,395.0,Sobol2,1000.0,0.038692414764583676,0.903078469647433,0.03205156083537642,0.8723330304196646
21792,0.95,877.0,Grid1296,10.0,0.024255362744671886,0.8864371026734489,0.050023606798850886,0.81009416187665
21793,0.95,877.0,Grid2401,10.0,0.01943097652859216,0.8309775116523952,0.08226183910362005,0.45283351214812384
21794,0.95,877.0,Sobol1,10.0,0.035984499680406505,0.9017844384569192,0.034282473498717554,0.8544167394992246
21795,0.95,877.0,Sobol2,10.0,0.04255040143352875,0.8923935166794721,0.03260072003870761,0.8818126639682025
21796,0.95,877.0,Grid1296,100.0,0.022294875011182515,0.9100964312403383,0.0488940200927458,0.814724962678796
21797,0.95,877.0,Grid2401,100.0,0.01837895737373496,0.8447203020838122,0.08222470593042434,0.45028956977214596
21798,0.95,877.0,Sobol1,100.0,0.03462804170186608,0.9139159982749389,0.03368586135112086,0.8707447650009084
21799,0.95,877.0,Sobol2,100.0,0.038752355790078796,0.9107935804948836,0.030141023313844564,0.9015908448307796
21800,0.95,877.0,Grid1296,250.0,0.02148410158372524,0.9190083000628622,0.04825533094358022,0.8222605619175739
21801,0.95,877.0,Grid2401,250.0,0.018122733523506605,0.8436228542811536,0.08312665067556087,0.4359260503576119
21802,0.95,877.0,Sobol1,250.0,0.034311034942482,0.913474973385017,0.0339618519058711,0.8665648581286587
21803,0.95,877.0,Sobol2,250.0,0.03845590566189375,0.9108991574201799,0.029989476283490923,0.902313141636042
21804,0.95,877.0,Grid1296,500.0,0.021811560526371936,0.9173228566258101,0.04810881274183789,0.8221521986150602
21805,0.95,877.0,Grid2401,500.0,0.017888449921145,0.8450467461481983,0.08241201348309746,0.44400072846077765
21806,0.95,877.0,Sobol1,500.0,0.0343967577375302,0.9122836510713515,0.03388025793554982,0.8657441775545616
21807,0.95,877.0,Sobol2,500.0,0.038773776668650006,0.9092475898603151,0.03031493964702371,0.9004715280106164
21808,0.95,877.0,Grid1296,750.0,0.021744706574741774,0.9183981848423766,0.04795289941376239,0.8233515044165169
21809,0.95,877.0,Grid2401,750.0,0.018008162146740482,0.8444229083814847,0.08256927800566566,0.442783948057469
21810,0.95,877.0,Sobol1,750.0,0.03438840186065804,0.912505426526343,0.0338841808074013,0.8665112390231035
21811,0.95,877.0,Sobol2,750.0,0.03887424640128572,0.9087096527454077,0.030474006353331685,0.8995764406122594
21812,0.95,877.0,Grid1296,1000.0,0.021712107946206302,0.9184744960203592,0.04795248727869166,0.8236819578873169
21813,0.95,877.0,Grid2401,1000.0,0.018156314000542514,0.8436434316364363,0.08267884753457265,0.4420621182157328
21814,0.95,877.0,Sobol1,1000.0,0.034358373642269305,0.9124586958789681,0.03383635985878158,0.866835538159308
21815,0.95,877.0,Sobol2,1000.0,0.03885483142931183,0.9087301823438342,0.030525550465650763,0.8992568419920636
21816,0.95,297.0,Grid1296,10.0,0.023710808491180256,0.9221753471694173,0.05307150774718503,0.8107164578684658
21817,0.95,297.0,Grid2401,10.0,0.01904812998301335,0.842915882451581,0.10092581163895292,0.24093244926924007
21818,0.95,297.0,Sobol1,10.0,0.032959448796408844,0.9161286897629168,0.029595545917293985,0.8826305438947469
21819,0.95,297.0,Sobol2,10.0,0.04120033536046807,0.8902089891091538,0.03349643806077669,0.8625690098058142
21820,0.95,297.0,Grid1296,100.0,0.024228679494961214,0.9082992553390454,0.052881041754963,0.8053641728378028
21821,0.95,297.0,Grid2401,100.0,0.017286276799262437,0.8559864741829457,0.10025752515498813,0.24935712435902402
21822,0.95,297.0,Sobol1,100.0,0.0328550446156304,0.9129498100677985,0.02844395319610129,0.8934181584416626
