,SigC,SigH,EpsC,EpsH,density
569,0.175,0.2048,0.9037,0.13,689.888
570,0.175,0.2048,1.068,0.03,658.184
571,0.175,0.2048,1.068,0.05,667.195
572,0.175,0.2048,1.068,0.07,674.642
573,0.175,0.2048,1.068,0.09,681.549
574,0.175,0.2048,1.068,0.11,689.299
575,0.175,0.2048,1.068,0.13,697.583
576,0.175,0.2503,0.2465,0.03,602.984
577,0.175,0.2503,0.2465,0.05,606.119
578,0.175,0.2503,0.2465,0.07,604.964
579,0.175,0.2503,0.2465,0.09,612.583
580,0.175,0.2503,0.2465,0.11,617.758
581,0.175,0.2503,0.2465,0.13,626.535
582,0.175,0.2503,0.4108,0.03,609.758
583,0.175,0.2503,0.4108,0.05,607.692
584,0.175,0.2503,0.4108,0.07,608.832
585,0.175,0.2503,0.4108,0.09,612.023
586,0.175,0.2503,0.4108,0.11,622.175
587,0.175,0.2503,0.4108,0.13,624.019
588,0.175,0.2503,0.5751,0.03,607.033
589,0.175,0.2503,0.5751,0.05,608.408
590,0.175,0.2503,0.5751,0.07,611.235
591,0.175,0.2503,0.5751,0.09,614.759
592,0.175,0.2503,0.5751,0.11,623.113
593,0.175,0.2503,0.5751,0.13,627.467
594,0.175,0.2503,0.7394,0.03,610.846
595,0.175,0.2503,0.7394,0.05,607.091
596,0.175,0.2503,0.7394,0.07,605.942
597,0.175,0.2503,0.7394,0.09,616.686
598,0.175,0.2503,0.7394,0.11,621.478
599,0.175,0.2503,0.7394,0.13,630.107
600,0.175,0.2503,0.9037,0.03,608.545
601,0.175,0.2503,0.9037,0.05,606.486
602,0.175,0.2503,0.9037,0.07,611.04
603,0.175,0.2503,0.9037,0.09,615.322
604,0.175,0.2503,0.9037,0.11,623.164
605,0.175,0.2503,0.9037,0.13,630.207
606,0.175,0.2503,1.068,0.03,611.997
607,0.175,0.2503,1.068,0.05,610.785
608,0.175,0.2503,1.068,0.07,613.762
609,0.175,0.2503,1.068,0.09,619.781
610,0.175,0.2503,1.068,0.11,625.932
611,0.175,0.2503,1.068,0.13,626.248
612,0.175,0.2958,0.2465,0.03,351.961
618,0.175,0.2958,0.4108,0.03,391.381
624,0.175,0.2958,0.5751,0.03,397.604
630,0.175,0.2958,0.7394,0.03,381.581
636,0.175,0.2958,0.9037,0.03,366.649
642,0.175,0.2958,1.068,0.03,434.035
648,0.225,0.0683,0.2465,0.03,648.975
649,0.225,0.0683,0.2465,0.05,644.273
650,0.225,0.0683,0.2465,0.07,647.897
651,0.225,0.0683,0.2465,0.09,644.426
652,0.225,0.0683,0.2465,0.11,643.13
653,0.225,0.0683,0.2465,0.13,649.792
654,0.225,0.0683,0.4108,0.03,656.014
655,0.225,0.0683,0.4108,0.05,652.859
656,0.225,0.0683,0.4108,0.07,652.671
657,0.225,0.0683,0.4108,0.09,659.13
658,0.225,0.0683,0.4108,0.11,653.728
659,0.225,0.0683,0.4108,0.13,660.931
660,0.225,0.0683,0.5751,0.03,657.941
661,0.225,0.0683,0.5751,0.05,659.909
662,0.225,0.0683,0.5751,0.07,659.081
663,0.225,0.0683,0.5751,0.09,663.199
664,0.225,0.0683,0.5751,0.11,659.104
665,0.225,0.0683,0.5751,0.13,664.335
666,0.225,0.0683,0.7394,0.03,667.99
667,0.225,0.0683,0.7394,0.05,664.109
668,0.225,0.0683,0.7394,0.07,672.127
669,0.225,0.0683,0.7394,0.09,667.749
670,0.225,0.0683,0.7394,0.11,668.898
671,0.225,0.0683,0.7394,0.13,669.006
